Asset #,Inscription #,Title,Description,Image,To,Inscription Link,deposit address,tokenId,vault owner,name,emblem link
21,696,Litecoin Punk #21 (Inscription 696),Litecoin Punk #21. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/18bcf9cb89cd40c2b0421a58845a209b98803c8f3ac1e3dc747b28085418d2e2i0,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,https://litecoin.earlyordies.com/inscription/18bcf9cb89cd40c2b0421a58845a209b98803c8f3ac1e3dc747b28085418d2e2i0,LUejAne6jFLTrVVxmJQnR6AYG1kBwgXG1Q,7356347825134011,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,Litecoin Punk #21 (Inscription #696),https://emblem.finance/nft?id=7356347825134011
22,697,Litecoin Punk #22 (Inscription 697),Litecoin Punk #22. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/46c1a748547cb50d46f3c9ff5eaa40e147b081930703094e001189237034c150i0,0x667c8909E9635CB57c23f459ce6928B48bDB1Cf4,https://litecoin.earlyordies.com/inscription/46c1a748547cb50d46f3c9ff5eaa40e147b081930703094e001189237034c150i0,LNyGhrbfb9bZFmNuWP8EFpDoVNc4tATyZE,57514215547964511,0x667c8909E9635CB57c23f459ce6928B48bDB1Cf4,Litecoin Punk #22 (Inscription #697),https://emblem.finance/nft?id=57514215547964511
23,698,Litecoin Punk #23 (Inscription 698),Litecoin Punk #23. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/077b524f2ebeb872b128f1da65c352f4b3d7bed6188cb01ef26ccaba317af5c6i0,0xc9F2F148D58972dFd737834024c0411d71E25681,https://litecoin.earlyordies.com/inscription/077b524f2ebeb872b128f1da65c352f4b3d7bed6188cb01ef26ccaba317af5c6i0,LTyAFb93cVNSwfMgUQsBPbSureRBU2dMqV,29539449209449501,0xc9F2F148D58972dFd737834024c0411d71E25681,Litecoin Punk #23 (Inscription #698),https://emblem.finance/nft?id=29539449209449501
24,699,Litecoin Punk #24 (Inscription 699),Litecoin Punk #24. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/353dceb8138bbc9ef232a984a2d903dda6b39ecba339115f88aaad3469015cfei0,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,https://litecoin.earlyordies.com/inscription/353dceb8138bbc9ef232a984a2d903dda6b39ecba339115f88aaad3469015cfei0,LPoNYA7UosNU5gCtwS4W3UguJX5Qcutr7k,7389347868923771,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,Litecoin Punk #24 (Inscription #699),https://emblem.finance/nft?id=7389347868923771
25,700,Litecoin Punk #25 (Inscription 700),Litecoin Punk #25. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/4952c417bebd6d4642ca497259819fcb8be60e35e4ab662993f1b04c165e8feai0,0x532502912f2eD5cDf033e280D94C05F1b99Ca15f,https://litecoin.earlyordies.com/inscription/4952c417bebd6d4642ca497259819fcb8be60e35e4ab662993f1b04c165e8feai0,LKXXV3jiKNzm85WfMo4vgLH3X5Q1A9qRnP,75195622446070321,0x532502912f2eD5cDf033e280D94C05F1b99Ca15f,Litecoin Punk #25 (Inscription #700),https://emblem.finance/nft?id=75195622446070321
26,701,Litecoin Punk #26 (Inscription 701),Litecoin Punk #26. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/68072f9ec41fa67072e878d9634716590411ec493a4915afd90ab0bf19572bbci0,0x7f314be00306b7ce9b186f437574e52b5dfb384c,https://litecoin.earlyordies.com/inscription/68072f9ec41fa67072e878d9634716590411ec493a4915afd90ab0bf19572bbci0,LaGZTg5P3mo6tqAXyYC9qRgDwEET1Js92n,17639271728841351,0x7f314be00306b7ce9b186f437574e52b5dfb384c,Litecoin Punk #26 (Inscription #701),https://emblem.finance/nft?id=17639271728841351
27,702,Litecoin Punk #27 (Inscription 702),Litecoin Punk #27. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/281eed0b78d6eba9775b9c2493d420eae18309619917402fe7049da389cd9e64i0,0x2513bf7540334eeF1733849c50FD41D598a46103,https://litecoin.earlyordies.com/inscription/281eed0b78d6eba9775b9c2493d420eae18309619917402fe7049da389cd9e64i0,LNdWndVSjC71pjDJMsGkFFs65REhjj8zQi,75078852375917871,0x2513bf7540334eeF1733849c50FD41D598a46103,Litecoin Punk #27 (Inscription #702),https://emblem.finance/nft?id=75078852375917871
28,703,Litecoin Punk #28 (Inscription 703),Litecoin Punk #28. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/48887c8427cda17b1c7eda1fa88a2980d884bd173ab5962af445ba1ef5813a6fi0,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,https://litecoin.earlyordies.com/inscription/48887c8427cda17b1c7eda1fa88a2980d884bd173ab5962af445ba1ef5813a6fi0,LYwVee8BdEYsnbnp2AFvfh9e6UNknznU2e,86262233373959911,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,Litecoin Punk #28 (Inscription #703),https://emblem.finance/nft?id=86262233373959911
29,704,Litecoin Punk #29 (Inscription 704),Litecoin Punk #29. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/3595efc6c41ee1c35e8d115070f686998fe8c6f11417e460f1f719355038c8e0i0,0xF48914FF6D77D2DdfECC7435e6c1cF972493BDeC,https://litecoin.earlyordies.com/inscription/3595efc6c41ee1c35e8d115070f686998fe8c6f11417e460f1f719355038c8e0i0,LgL4FAGfhwAC7HAH3zApL3QZ43ZnwBETq3,68559743613366761,0xF48914FF6D77D2DdfECC7435e6c1cF972493BDeC,Litecoin Punk #29 (Inscription #704),https://emblem.finance/nft?id=68559743613366761
30,705,Litecoin Punk #30 (Inscription 705),Litecoin Punk #30. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/60f137a86bcc10bb55d45ceff8a10405a0c1da778c5de3b8a3c010464e6b8b5ai0,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,https://litecoin.earlyordies.com/inscription/60f137a86bcc10bb55d45ceff8a10405a0c1da778c5de3b8a3c010464e6b8b5ai0,LfiJYG5ZkNeqtM2PwwQVgsiik2tbm6E9AC,54877739376129291,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,Litecoin Punk #30 (Inscription #705),https://emblem.finance/nft?id=54877739376129291
